genesymbols	earlytrophozoite	latering	latetrophozoite	earlyschizont	earlyring	lateschizont	gametocyte(developing)	gametocyte(female)	gametocyte(male)
PF3D7.0525200	518.177716122168	211.777209861922	850.091276291914	947.272981845532	412.878293647667	305.003338198659	403.393365311203	324.97157561498	175.534506751624
PF3D7.0525300	1	1	1	1	271.857288273324	169.504787343276	1	333.3842182457	1
PF3D7.0525400	106.178762356536	1	96.4733351007657	155.308671647745	134.54421247368	1	99.2263383673046	210.973339568549	79.4478161266879
PF3D7.0525500	174.779355354376	133.950253049121	1	1	1	1	136.849920650365	98.1816699229922	112.133405089704
PF3D7.0525600	369.030858332167	1	150.406491123533	64.7306624887233	1	1	293.726642125904	95.0824269655209	241.10462963677
PF3D7.0525700	1	1	1	1	1	1	1	1	1
PF3D7.0525800	1	1	1	1	3312.3916962927	2377.439570438	1	1	1
PF3D7.0525900	1	1	1	1	1	1	1	667.120275734152	1
PF3D7.0526000	95.9020398730378	1	71.9452805561756	1	1	1	117.609796730982	82.9319231055646	221.392341073788
PF3D7.0526100	88.4430887406755	1	99.3917377627738	1	1	1	113.563537074003	411.491537487897	119.011136124608
PF3D7.0526200.1	1	1	1	1	1	1	1	1	1
PF3D7.0526200.2	1	1	1	1	1	1	1	1	1
PF3D7.0526300	1	1	1	1	1	1	1	1	1
PF3D7.0526400	1	1	1	1	1	1	1	1	1
PF3D7.0526500	435.705516654774	690.058286327682	325.9118379415	83.2672120417039	146.250452439373	1	346.266525773915	120.022985163711	198.050652595574
PF3D7.0526600	196.623298256425	1	385.774304287367	341.234533412366	1	1	582.918816623061	275.579400523686	253.842047682852
PF3D7.0526700	233.602275345135	1	326.061231652815	114.849099634903	1	1	152.684795957757	126.123991361116	81.596090495383
PF3D7.0526800	304.316048805626	279.709647963364	181.067474210015	1	1	1	273.836162942728	82.7886564941075	114.052668162095
PF3D7.0526900	1	1	1	1	1	1	1	1	1
PF3D7.0527000	338.45329710353	1	479.440477440808	490.783005614463	1	1	220.775378250136	165.715327641584	1009.86515967231
PF3D7.0527100	1	1	1	1	1	1	1	1	1
PF3D7.0527200	335.877270655371	337.930448922685	382.436432463509	427.110037139632	1	222.171991759838	309.385599752452	1	100.029975449559
PF3D7.0527300	1	1	1	1	1	1	1	1	1
PF3D7.0527400	1	96.6741943685363	1	1	83.7375751293254	1	103.897355701387	96.1257257432149	1
PF3D7.0527500	1022.57969193797	846.605969660873	512.081306923564	78.8330754457127	337.674744023046	140.06108106721	879.215746899942	327.870668680504	361.205953721142
PF3D7.0527600	151.074359097414	1	177.287692295115	149.112637211813	1	111.226920744276	123.022642820267	668.125159655436	154.232326903784
PF3D7.0527900	275.907042087632	317.810471449029	157.039471419565	1	1	1	312.972289763517	1	87.2077244497124
PF3D7.0528000	216.433821135822	1	173.531582047694	286.40303796846	1	1	190.616337216991	490.945015684233	177.753473301308
PF3D7.0528100	80.7686203615327	94.2014457327652	135.043471399978	134.659381596012	59.4355750067948	1	156.429236670845	82.6779866410885	155.694502412159
PF3D7.0528200	386.120232593491	602.936336397567	262.190367008118	103.583605203934	172.299808167175	1	182.32551601776	71.3842777351005	64.562957201186
PF3D7.0528300	1	1	1	102.721055145635	1	295.394483141236	1	1	1
PF3D7.0528400	1	1	1	196.110278173607	1	366.444389341471	1	69.1196953561971	1
PF3D7.0528500	1	1	128.558282426576	82.338622143423	1	1	144.868578689309	154.526422456257	116.668563554461
PF3D7.0528600	118.608162765559	320.632565607912	127.888843883424	1	80.094076048717	1	189.843100327331	228.344035454036	1
PF3D7.0528700	1	1	1	1	1	1	1	1	1
PF3D7.0528800	244.31405702085	435.803544687511	61.5045478921164	1	206.506081599834	1	274.734341281635	91.2278572644521	96.3044556703602
PF3D7.0528900	1	1	1	1	1	1	1	1968.7468989792	155.397323090363
PF3D7.0529000	130.862867855177	204.164863124894	177.142537435314	87.1638210689941	191.731740739704	114.177270470813	117.283224536035	1	68.4541132908721
PF3D7.0529100	217.365990110884	1	253.56458253148	146.792089793099	1	1	93.9284180549586	83.7477567438344	1
PF3D7.0529200	1	1	1	1	1	1	98.6347966549755	1	1
PF3D7.0529300	106.450469233277	1	123.892424201896	1	1	1	111.80068766131	82.600360748182	1
PF3D7.0529400.1	1	1	1	67.6987053842443	1	1	1	1	1
PF3D7.0529400.2	1	1	1	1	1	1	1	1	1
PF3D7.0529500	1	1	1	1	1	1	1	1	1
PF3D7.0529700	1	1	1	1	1	1	156.416510021409	1	1
PF3D7.0529800	309.137687801189	1	545.580800941698	674.518304551618	1	215.815190121792	371.42005446434	148.414116933266	448.662407051251
PF3D7.0529900	335.415235406889	740.767356072927	375.862283453333	356.936732036839	497.063293625	305.577501727335	433.253258751025	464.631281346101	434.536867664124
PF3D7.0530000	241.949642009208	1	242.805379604653	1	131.375889064519	1	233.142111269925	120.501248395999	57.6897306173577
PF3D7.0530100	1	1	1	1	106.92086100956	1	1	1	1
PF3D7.0530200	244.424554378437	1	249.361356366429	115.517570477723	1	1	237.086919527497	1	68.2903918692817
